PTArthaInvestaTeknologi,PT Batavia Prosperindo Aset Manajemen,BATAVIA DANA DINAMIS
PTArthaInvestaTeknologi,PT Batavia Prosperindo Aset Manajemen,BATAVIA DANA SAHAM
PTArthaInvestaTeknologi,PT Batavia Prosperindo Aset Manajemen,BATAVIA DANA SAHAM OPTIMAL
PTArthaInvestaTeknologi,PT Batavia Prosperindo Aset Manajemen,BATAVIA DANA SAHAM SYARIAH
PTArthaInvestaTeknologi,PT Insight Investments Management,RD HAJI SYARIAH I HAJJ
PTArthaInvestaTeknologi,PT. Bahana TCW Investment Management,REKSA DANA BAHANA DANA LIKUID
PTArthaInvestaTeknologi,PT. Bahana TCW Investment Management,REKSA DANA BAHANA PRIMAVERA 99 Kelas G
PTArthaInvestaTeknologi,PT. Bahana TCW Investment Management,REKSA DANA BAHANA PRIMAVERA PLUS
PTArthaInvestaTeknologi,PT Batavia Prosperindo Aset Manajemen,Reksa Dana Batavia Dana Kas Maxima
PTArthaInvestaTeknologi,PT Batavia Prosperindo Aset Manajemen,Reksa Dana Batavia Dana Likuid
PTArthaInvestaTeknologi,PT Batavia Prosperindo Aset Manajemen,REKSA DANA BATAVIA DANA OBLIGASI ULTIMA
PTArthaInvestaTeknologi,PT Batavia Prosperindo Aset Manajemen,REKSA DANA BATAVIA DISRUPTIVE EQUITY
PTArthaInvestaTeknologi,PT BNI Asset Management,REKSA DANA BNI AM DANA LIKUID
PTArthaInvestaTeknologi,PT BNI Asset Management,REKSA DANA BNIAM DANA LANCAR SYARIAH
PTArthaInvestaTeknologi,PT BNI Asset Management,REKSA DANA BNIAM DANA SAHAM INSPIRING EQUITY FUND
PTArthaInvestaTeknologi,PT BNI Asset Management,REKSA DANA BNIAM DANA SAHAM SYARIAH MUSAHAMAH
PTArthaInvestaTeknologi,PT CIPTADANA ASSET MANAGEMENT,REKSA DANA CIPTA BOND
PTArthaInvestaTeknologi,PT CIPTADANA ASSET MANAGEMENT,REKSA DANA CIPTA DANA CASH
PTArthaInvestaTeknologi,PT CIPTADANA ASSET MANAGEMENT,Reksa Dana Cipta Saham Unggulan
PTArthaInvestaTeknologi,PT CIPTADANA ASSET MANAGEMENT,REKSA DANA CIPTA SAKURA EQUITY
PTArthaInvestaTeknologi,PT Danakita Investama,REKSA DANA DANAKITA OBLIGASI NEGARA
PTArthaInvestaTeknologi,PT Danakita Investama,Reksa Dana Danakita Stabil Pasar Uang
PTArthaInvestaTeknologi,PT BRI MANAJEMEN INVESTASI,REKSA DANA DANAREKSA BRAWIJAYA ABADI PENDAPATAN TETAP
PTArthaInvestaTeknologi,PT BRI MANAJEMEN INVESTASI,REKSA DANA DANAREKSA MAWAR KONSUMER 10 KELAS A
PTArthaInvestaTeknologi,PT BRI MANAJEMEN INVESTASI,Reksa Dana Danareksa Melati Pendapatan Utama
PTArthaInvestaTeknologi,PT BRI MANAJEMEN INVESTASI,REKSA DANA DANAREKSA SERUNI PASAR UANG III
PTArthaInvestaTeknologi,PT BRI MANAJEMEN INVESTASI,REKSA DANA DANAREKSA SYARIAH SAHAM
PTArthaInvestaTeknologi,PT. Eastspring Investments Indonesia,REKSA DANA EASTSPRING IDR FIXED INCOME FUND KELAS A
PTArthaInvestaTeknologi,PT. Eastspring Investments Indonesia,REKSA DANA EASTSPRING INVESTMENTS CASH RESERVE KELAS A
PTArthaInvestaTeknologi,PT. Eastspring Investments Indonesia,REKSA DANA EASTSPRING INVESTMENTS IDR HIGH GRADE KELAS A
PTArthaInvestaTeknologi,PT. Eastspring Investments Indonesia,REKSA DANA EASTSPRING INVESTMENTS VALUE DISCOVERY KELAS A
PTArthaInvestaTeknologi,PT. Eastspring Investments Indonesia,REKSA DANA EASTSPRING INVESTMENTS YIELD DISCOVERY KELAS A
PTArthaInvestaTeknologi,PT Henan Putihrai Asset Management,REKSA DANA HPAM FLEXI PLUS
PTArthaInvestaTeknologi,PT Henan Putihrai Asset Management,REKSA DANA HPAM GOVERNMENT BOND
PTArthaInvestaTeknologi,PT Henan Putihrai Asset Management,REKSA DANA HPAM ULTIMA EKUITAS 1
PTArthaInvestaTeknologi,PT Henan Putihrai Asset Management,REKSA DANA HPAM ULTIMA MONEY MARKET
PTArthaInvestaTeknologi,PT BNI Asset Management,REKSA DANA INDEKS BNI AM INDEKS IDX GROWTH30 KELAS R1
PTArthaInvestaTeknologi,PT BNI Asset Management,REKSA DANA INDEKS BNI AM INDEKS IDX30
PTArthaInvestaTeknologi,PT BNI Asset Management,REKSA DANA INDEKS BNI AM SHORT DURATION BONDS INDEX KELAS R1
PTArthaInvestaTeknologi,PT BRI MANAJEMEN INVESTASI,REKSA DANA INDEKS DANAREKSA MSCI INDONESIA ESG SCREENED KELAS A
PTArthaInvestaTeknologi,PT. Eastspring Investments Indonesia,REKSA DANA INDEKS EASTSPRING IDX ESG LEADERS PLUS KELAS A
PTArthaInvestaTeknologi,PT Insight Investments Management,REKSA DANA INDEKS INSIGHT SRI KEHATI LIKUID I SRI LIKUID
PTArthaInvestaTeknologi,PT Principal Asset Management,REKSA DANA INDEKS PRINCIPAL INDEX IDX30 KELAS O
PTArthaInvestaTeknologi,PT SYAILENDRA CAPITAL,REKSA DANA INDEKS SYAILENDRA MSCI INDONESIA VALUE INDEX FUND KELAS A
PTArthaInvestaTeknologi,PT Trimegah Asset Management,REKSA DANA INDEKS TRIMEGAH FTSE INDONESIA LOW VOLATILITY FACTOR INDEX
PTArthaInvestaTeknologi,PT. UOB Asset Management Indonesia,REKSA DANA INDEKS UOBAM INDEKS BISNIS 27
PTArthaInvestaTeknologi,PT Insight Investments Management,Reksa Dana Insight Retail Cash Fund
PTArthaInvestaTeknologi,PT BNI Asset Management,REKSA DANA PENDAPATAN TETAP BNI AM QUALITY LONG DURATION FUND
PTArthaInvestaTeknologi,PT. UOB Asset Management Indonesia,REKSA DANA PENDAPATAN TETAP UOBAM INOVASI OBLIGASI NASIONAL
PTArthaInvestaTeknologi,PT Principal Asset Management,REKSA DANA PRINCIPAL BALANCED STRATEGIC PLUS
PTArthaInvestaTeknologi,PT Principal Asset Management,REKSA DANA PRINCIPAL CASH FUND
PTArthaInvestaTeknologi,PT Principal Asset Management,REKSA DANA PRINCIPAL INDO DOMESTIC EQUITY FUND
PTArthaInvestaTeknologi,PT Principal Asset Management,REKSA DANA PRINCIPAL ISLAMIC EQUITY GROWTH SYARIAH
PTArthaInvestaTeknologi,PT Principal Asset Management,REKSA DANA PRINCIPAL SMART EQUITY FUND
PTArthaInvestaTeknologi,PT Principal Asset Management,REKSA DANA PRINCIPAL TOTAL RETURN BOND FUND
PTArthaInvestaTeknologi,PT Principal Asset Management,REKSA DANA PRINCIPAL TOTAL RETURN EQUITY FUND KELAS O
PTArthaInvestaTeknologi,PT CIPTADANA ASSET MANAGEMENT,REKSA DANA RENCANA CERDAS
PTArthaInvestaTeknologi,PT BNI Asset Management,REKSA DANA SAHAM BNIAM MAHOGANY
PTArthaInvestaTeknologi,PT. Eastspring Investments Indonesia,REKSA DANA SAHAM EASTSPRING INVESTMENTS ALPHA NAVIGATOR KELAS A
PTArthaInvestaTeknologi,PT. UOB Asset Management Indonesia,REKSA DANA SAHAM UOBAM SUSTAINABLE EQUITY INDONESIA D
PTArthaInvestaTeknologi,PT Samuel Aset Manajemen,Reksa Dana SAM Dana Kas
PTArthaInvestaTeknologi,PT Samuel Aset Manajemen,REKSA DANA SAM INDONESIAN EQUITY FUND
PTArthaInvestaTeknologi,PT Samuel Aset Manajemen,Reksa Dana SAM Mutiara Nusa Campuran
PTArthaInvestaTeknologi,PT Samuel Aset Manajemen,REKSA DANA SAM SUKUK SYARIAH SEJAHTERA
PTArthaInvestaTeknologi,PT Sequis Aset Manajemen,Reksa Dana Sequis Balance Ultima
PTArthaInvestaTeknologi,PT Sequis Aset Manajemen,Reksa Dana Sequis Bond Optima
PTArthaInvestaTeknologi,PT Sequis Aset Manajemen,Reksa Dana Sequis Equity Maxima
PTArthaInvestaTeknologi,PT Sequis Aset Manajemen,Reksa Dana Sequis Liquid Prima
PTArthaInvestaTeknologi,PT. Setiabudi Investment Management,REKSA DANA SETIABUDI DANA CAMPURAN
