PTBankSyariahIndonesia,PT Batavia Prosperindo Aset Manajemen,BATAVIA DANA SAHAM SYARIAH
PTBankSyariahIndonesia,PT Insight Investments Management,RD HAJI SYARIAH I HAJJ
PTBankSyariahIndonesia,PT Insight Investments Management,REKSA DANA  INSIGHT MONEY SYARIAH
PTBankSyariahIndonesia,PT MANDIRI MANAJEMEN INVESTASI,REKSA DANA MANDIRI INVESTA ATRAKTIF SYARIAH
PTBankSyariahIndonesia,PT MANDIRI MANAJEMEN INVESTASI,REKSA DANA MANDIRI INVESTA DANA SYARIAH
PTBankSyariahIndonesia,PT MANDIRI MANAJEMEN INVESTASI,REKSA DANA MANDIRI INVESTA SYARIAH BERIMBANG
PTBankSyariahIndonesia,PT Manulife Aset Manajemen Indonesia,Reksa Dana Manulife Syariah Sektoral Amanah Kelas A
PTBankSyariahIndonesia,PT Sucorinvest Asset Management,Reksa Dana Sucorinvest Sharia Equity Fund
PTBankSyariahIndonesia,PT. Bahana TCW Investment Management,REKSA DANA SYARIAH BAHANA ICON SYARIAH KELAS G
PTBankSyariahIndonesia,PT. Bahana TCW Investment Management,REKSA DANA SYARIAH BAHANA LIKUID SYARIAH KELAS G
