PTInvesnowPrincipalOptima,PT Avrist Asset Management,Avrist Equity Amar Syariah
PTInvesnowPrincipalOptima,PT Sinarmas Asset Management,DANAMAS RUPIAH PLUS
PTInvesnowPrincipalOptima,PT Sinarmas Asset Management,DANAMAS STABIL
PTInvesnowPrincipalOptima,PT. Phillip Asset Management,Phillip Money Market Fund
PTInvesnowPrincipalOptima,PT Insight Investments Management,RD HAJI SYARIAH I HAJJ
PTInvesnowPrincipalOptima,PT Pinnacle Persada Investama,RD SYARIAH PINNACLE SHARIA MONEY MARKET FUND
PTInvesnowPrincipalOptima,PT Insight Investments Management,REKSA DANA  INSIGHT MONEY SYARIAH
PTInvesnowPrincipalOptima,PT Allianz Global Investors Asset Management Indonesia,REKSA DANA ALLIANZ ALPHA SECTOR ROTATION
PTInvesnowPrincipalOptima,PT Allianz Global Investors Asset Management Indonesia,REKSA DANA ALLIANZ FIXED INCOME FUND 2
PTInvesnowPrincipalOptima,PT Allianz Global Investors Asset Management Indonesia,REKSA DANA ALLIANZ RUPIAH LIQUID FUND
PTInvesnowPrincipalOptima,PT Avrist Asset Management,REKSA DANA AVRIST ADA SAHAM BLUE SAFIR
PTInvesnowPrincipalOptima,PT Avrist Asset Management,REKSA DANA AVRIST BOND FUND
PTInvesnowPrincipalOptima,PT Avrist Asset Management,REKSA DANA AVRIST LIQUID FUND
PTInvesnowPrincipalOptima,PT. Bahana TCW Investment Management,REKSA DANA BAHANA DANA EKUITAS ANDALAN Kelas G
PTInvesnowPrincipalOptima,PT. Bahana TCW Investment Management,REKSA DANA BAHANA DANA LIKUID
PTInvesnowPrincipalOptima,PT. Bahana TCW Investment Management,REKSA DANA BAHANA USD GLOBAL SHARIA EQUITIES
PTInvesnowPrincipalOptima,PT Sucorinvest Asset Management,Reksa Dana Balanced Fund Sucorinvest Anak Pintar
PTInvesnowPrincipalOptima,PT BNI Asset Management,REKSA DANA BNI AM DANA LIKUID
PTInvesnowPrincipalOptima,PT BNI Asset Management,Reksa Dana BNI AM Dana Pendapatan Tetap Makara Investasi
PTInvesnowPrincipalOptima,PT BNI Asset Management,REKSA DANA BNIAM DANA LANCAR SYARIAH
PTInvesnowPrincipalOptima,PT BNI Asset Management,REKSA DANA BNIAM DANA SAHAM INSPIRING EQUITY FUND
PTInvesnowPrincipalOptima,PT BNI Asset Management,REKSA DANA BNIAM DANA SAHAM SYARIAH MUSAHAMAH
PTInvesnowPrincipalOptima,PT Capital Asset Management,REKSA DANA CAPITAL FIXED INCOME FUND
PTInvesnowPrincipalOptima,PT Capital Asset Management,REKSA DANA CAPITAL MONEY MARKET FUND
PTInvesnowPrincipalOptima,PT CIPTADANA ASSET MANAGEMENT,REKSA DANA CIPTA BOND
