PTNusantaraSejahteraInvestama,PT Batavia Prosperindo Aset Manajemen,BATAVIA DANA DINAMIS
PTNusantaraSejahteraInvestama,PT Batavia Prosperindo Aset Manajemen,BATAVIA DANA SAHAM
PTNusantaraSejahteraInvestama,PT Insight Investments Management,RD HAJI SYARIAH I HAJJ
PTNusantaraSejahteraInvestama,PT Insight Investments Management,REKSA DANA  INSIGHT MONEY
PTNusantaraSejahteraInvestama,PT Insight Investments Management,REKSA DANA  INSIGHT MONEY SYARIAH
PTNusantaraSejahteraInvestama,PT. Bahana TCW Investment Management,REKSA DANA BAHANA DANA LIKUID
PTNusantaraSejahteraInvestama,PT. Bahana TCW Investment Management,REKSA DANA BAHANA OBLIGASI KEHATI LESTARI KELAS G
PTNusantaraSejahteraInvestama,PT. Bahana TCW Investment Management,REKSA DANA BAHANA PRIMAVERA 99 Kelas G
PTNusantaraSejahteraInvestama,PT. Bahana TCW Investment Management,REKSA DANA BAHANA PRIMAVERA 99 Kelas S
PTNusantaraSejahteraInvestama,PT Batavia Prosperindo Aset Manajemen,Reksa Dana Batavia Dana Kas Maxima
PTNusantaraSejahteraInvestama,PT Batavia Prosperindo Aset Manajemen,Reksa Dana Batavia Dana Likuid
PTNusantaraSejahteraInvestama,PT Batavia Prosperindo Aset Manajemen,REKSA DANA BATAVIA DANA OBLIGASI ULTIMA
PTNusantaraSejahteraInvestama,PT BNI Asset Management,REKSA DANA BNI AM DANA DOMPET DHUAFA
PTNusantaraSejahteraInvestama,PT BNI Asset Management,REKSA DANA BNI AM DANA LIKUID
PTNusantaraSejahteraInvestama,PT BNI Asset Management,Reksa Dana BNI AM Dana Pendapatan Tetap Makara Investasi
PTNusantaraSejahteraInvestama,PT BNI Asset Management,REKSA DANA BNI AM UGM PROGRESSIVE BALANCED
PTNusantaraSejahteraInvestama,PT. BNP Paribas Asset Management,REKSA DANA BNP PARIBAS EKUITAS
PTNusantaraSejahteraInvestama,PT. BNP Paribas Asset Management,REKSA DANA BNP PARIBAS PESONA
PTNusantaraSejahteraInvestama,PT. BNP Paribas Asset Management,REKSA DANA BNP PARIBAS PRIMA II KELAS RK1
PTNusantaraSejahteraInvestama,PT. BNP Paribas Asset Management,REKSA DANA BNP PARIBAS RUPIAH PLUS
PTNusantaraSejahteraInvestama,PT BRI MANAJEMEN INVESTASI,REKSA DANA DANAREKSA ANGGREK FLEKSIBEL
PTNusantaraSejahteraInvestama,PT BRI MANAJEMEN INVESTASI,REKSA DANA DANAREKSA MAWAR KONSUMER 10 KELAS A
PTNusantaraSejahteraInvestama,PT BRI MANAJEMEN INVESTASI,Reksa Dana Danareksa Melati Pendapatan Utama
PTNusantaraSejahteraInvestama,PT BRI MANAJEMEN INVESTASI,REKSA DANA DANAREKSA MELATI PREMIUM DOLLAR
PTNusantaraSejahteraInvestama,PT BRI MANAJEMEN INVESTASI,REKSA DANA DANAREKSA SERUNI PASAR UANG II KELAS A
