PTSaranaSantosaSejati,PT Batavia Prosperindo Aset Manajemen,BATAVIA DANA DINAMIS
PTSaranaSantosaSejati,PT Batavia Prosperindo Aset Manajemen,BATAVIA DANA SAHAM
PTSaranaSantosaSejati,PT Batavia Prosperindo Aset Manajemen,BATAVIA DANA SAHAM OPTIMAL
PTSaranaSantosaSejati,PT Batavia Prosperindo Aset Manajemen,BATAVIA DANA SAHAM SYARIAH
PTSaranaSantosaSejati,PT Pinnacle Persada Investama,RD SYARIAH PINNACLE SHARIA MONEY MARKET FUND
PTSaranaSantosaSejati,PT. Bahana TCW Investment Management,Reksa Dana ABF Indonesia Bond Index Fund
PTSaranaSantosaSejati,PT. Bahana TCW Investment Management,REKSA DANA BAHANA DANA LIKUID
PTSaranaSantosaSejati,PT Batavia Prosperindo Aset Manajemen,Reksa Dana Batavia Dana Kas Maxima
PTSaranaSantosaSejati,PT Batavia Prosperindo Aset Manajemen,REKSA DANA BATAVIA DANA OBLIGASI ULTIMA
PTSaranaSantosaSejati,PT Batavia Prosperindo Aset Manajemen,Reksa Dana Batavia LQ45 Plus
PTSaranaSantosaSejati,PT Batavia Prosperindo Aset Manajemen,Reksa Dana Batavia Saham ESG Impact
PTSaranaSantosaSejati,PT BNI Asset Management,Reksa Dana BNI AM Dana Pendapatan Tetap Makara Investasi
PTSaranaSantosaSejati,PT BNI Asset Management,REKSA DANA BNI AM UGM PROGRESSIVE BALANCED
PTSaranaSantosaSejati,PT BNI Asset Management,REKSA DANA BNIAM DANA LANCAR SYARIAH
PTSaranaSantosaSejati,PT. BNP Paribas Asset Management,REKSA DANA BNP PARIBAS EKUITAS
PTSaranaSantosaSejati,PT. BNP Paribas Asset Management,REKSA DANA BNP PARIBAS EQUITRA CAMPURAN HARMONI
PTSaranaSantosaSejati,PT. BNP Paribas Asset Management,REKSA DANA BNP PARIBAS INDONESIA ESG EQUITY KELAS RK1
PTSaranaSantosaSejati,PT. BNP Paribas Asset Management,REKSA DANA BNP PARIBAS INFRASTRUKTUR PLUS
PTSaranaSantosaSejati,PT. BNP Paribas Asset Management,REKSA DANA BNP PARIBAS PESONA
PTSaranaSantosaSejati,PT. BNP Paribas Asset Management,REKSA DANA BNP PARIBAS PRIMA II KELAS DR1
PTSaranaSantosaSejati,PT. BNP Paribas Asset Management,REKSA DANA BNP PARIBAS PRIMA USD KELAS RK1
PTSaranaSantosaSejati,PT. BNP Paribas Asset Management,REKSA DANA BNP PARIBAS RUPIAH PLUS
PTSaranaSantosaSejati,PT. BNP Paribas Asset Management,REKSA DANA BNP PARIBAS SOLARIS
PTSaranaSantosaSejati,PT BRI MANAJEMEN INVESTASI,REKSA DANA DANAREKSA GAMASTEPS PASAR UANG
PTSaranaSantosaSejati,PT BRI MANAJEMEN INVESTASI,REKSA DANA DANAREKSA INDEKS SYARIAH
PTSaranaSantosaSejati,PT BRI MANAJEMEN INVESTASI,REKSA DANA DANAREKSA MAWAR FOKUS 10
PTSaranaSantosaSejati,PT BRI MANAJEMEN INVESTASI,REKSA DANA DANAREKSA MAWAR KONSUMER 10 KELAS A
