PTSayakayaLahirBatin,PT Avrist Asset Management,Avrist Equity Amar Syariah
PTSayakayaLahirBatin,PT Pinnacle Persada Investama,RD SYARIAH PINNACLE SHARIA MONEY MARKET FUND
PTSayakayaLahirBatin,PT Avrist Asset Management,REKSA DANA AVRIST BOND FUND
PTSayakayaLahirBatin,PT Avrist Asset Management,REKSA DANA AVRIST EQUITY GROWTH FUND
PTSayakayaLahirBatin,PT Avrist Asset Management,REKSA DANA AVRIST LIQUID FUND
PTSayakayaLahirBatin,PT. Bahana TCW Investment Management,REKSA DANA BAHANA OBLIGASI KEHATI LESTARI KELAS G
PTSayakayaLahirBatin,PT. Bahana TCW Investment Management,REKSA DANA BAHANA PENDAPATAN TETAP MAKARA PRIMA KELAS G
PTSayakayaLahirBatin,PT. Bahana TCW Investment Management,REKSA DANA BAHANA PRIMAVERA 99 Kelas G
PTSayakayaLahirBatin,PT Sucorinvest Asset Management,Reksa Dana Balanced Fund Sucorinvest Anak Pintar
PTSayakayaLahirBatin,PT BNI Asset Management,REKSA DANA BNI AM DANA LIKUID
PTSayakayaLahirBatin,PT BNI Asset Management,REKSA DANA BNIAM DANA LANCAR SYARIAH
PTSayakayaLahirBatin,PT Avrist Asset Management,REKSA DANA INDEKS AVRIST IDX30
PTSayakayaLahirBatin,PT Avrist Asset Management,REKSA DANA INDEKS AVRIST INDEKS LQ45
PTSayakayaLahirBatin,PT BNI Asset Management,REKSA DANA INDEKS BNI AM INDEKS IDX GROWTH30 KELAS R1
PTSayakayaLahirBatin,PT BNI Asset Management,REKSA DANA INDEKS BNI AM INDEKS IDX30
PTSayakayaLahirBatin,PT BNI Asset Management,REKSA DANA INDEKS BNI AM SHORT DURATION BONDS INDEX KELAS R1
PTSayakayaLahirBatin,PT Sucorinvest Asset Management,REKSA DANA INDEKS SUCORINVEST IDX30
PTSayakayaLahirBatin,PT SYAILENDRA CAPITAL,REKSA DANA INDEKS SYAILENDRA MSCI INDONESIA VALUE INDEX FUND KELAS A
PTSayakayaLahirBatin,PT Trimegah Asset Management,REKSA DANA INDEKS TRIMEGAH FTSE INDONESIA LOW VOLATILITY FACTOR INDEX
PTSayakayaLahirBatin,PT KISI Asset Management,REKSA DANA KISI BALANCED FUND
PTSayakayaLahirBatin,PT KISI Asset Management,REKSA DANA KISI EQUITY FUND
PTSayakayaLahirBatin,PT KISI Asset Management,REKSA DANA KISI FIXED INCOME FUND
